full_price,name,brand,photo
,[Teenieping EDITION] goodal Green Tangerine Vita-C Dark Spot Care Serum,,
,CLIO Kill Cover Mesh Glow Essential Cushion,,
$22.00,Perfect Cover BB Cream SPF 42 PA+++,MISSHA,
,d'Alba Waterful Tone Up Sun Cream Purple,,
,medicube Zero Pore Pad,,
,[Winter's Pick] espoir Pro Tailor Be Velvet Cover Cushion New Class,,
,Beauty of Joseon Relief Sun: Rice   Probiotics  Double Pack,,
,too cool for school Artclass By. Rodin Shading,,
,VT Reedle Shot,,
,hince Second Skin Mesh Matte Cushion,,
$20.00,Objet Liquid,MUZIGAE MANSION,
$8.00,Collagen Essential Mask,MEDIHEAL,
,CLIO KILL COVER FOUNWEAR CUSHION THE ORIGINAL,,
,Arencia Green Tea LHA Deep Pore Rice Cake Cleanser,,
$25.00,Peach 70 Niacin Serum,ANUA,
,Dr.G Green Mild Up Sun  Special Set,,
,WAKEMAKE Waterful Glow Tint,,
$32.00,Vitamin C Glow Capsule Lotion,HANSKIN,
,Abib Mild Acidic pH Sheet Mask Heartleaf Fit,,
$24.00,DIVE-IN Low Molecular Hyaluronic Acid Serum,Torriden,
,LABO-H Hair Loss Care Hair Line Ampoule Double Set,,
,BEYOND Classic Hand Cream Deep Moisture,,
,BIOHEAL BOH Probioderm,,
$17.00,Centella Water Alcohol-Free Toner,COSRX,
,CNP Propolis Energy Active Ampule,,
,★,,
,CLIO Kill Brow Auto Hard Brow Pencil,,
$19.00,Bio Collagen-Real Deep Mask (4 Pack),Biodance,
$15.99,Curl Fix Mascara - 04 Volume,ETUDE,
$8.00,Tea Tree Essential Blemish Control Sheet Mask,MEDIHEAL,
,[Amuroki EDITION] ROUND LAB,,
$29.00,Pure Cleansing Oil,MANYO FACTORY,
$70.00,The Cleansing Duo,Then I Met You,
,too cool for school Smudging Under Liner,,
,VT Reedle Shot,,
,fwee Lip & Cheek Blurry Pudding Pot,,
$24.99,Glitterpedia Eye Palette - No3. All of Coral Pink,UNLEASHIA,
$9.99,Shaper Defining Eyebrow Pencil,UNLEASHIA,
$26.99,Safe Me. Relief Moisture Cleansing Milk,MAKE P:REM,
,peripera Syrupy Tok Cheek,,
,beplain Mung Bean pH-Balanced Cleansing Foam,,
,[Squid Game OYG Pick] WAKEMAKE Soft Blurring Eye Palette #,,
$20.00,Objet Liquid,MUZIGAE MANSION,
$199.00,10-Step Korean Skin Care Routine Set (Oily Skin Type),SOKO GLAM EXCLUSIVE,
,[NEW] WAKEMAKE Soft Blurring Eye Palette,,
,snuggle Double Soft Fabric Freshener,,
,d’Alba Vita Toning Capsule Cream,,
,,,
$30.00,Aqua Soothing Cream,Real Barrier,
