discounted_price,full_price,name,name_kor,brand,ranking,photo,link
US$44.07,US$49.00,OBge Natural Cover Foundation No.1 Special Set,,OBge,54,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA221116720
,,BIODANCE Bio Collagen Real Deep Mask Sheet 16P,,BIODANCE,55,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230518544
US$23.03,US$42.00,Anua PDRN Hyaluronic Acid 100 Moisturizing Cream 60ml Set (+30ml),,Anua,56,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329147
US$38.25,US$45.00,hince Second Skin Mesh Matte Cushion (Main Product 12g+Refill 12g) (SET/SINGLE),,hince,57,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230719662
US$36.53,US$44.00,medicube Zero Pore Pad 2.0 70P Refill Set,,medicube,58,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240624216
US$28.50,US$38.00,CLIO KILL COVER FOUNWEAR CUSHION THE ORIGINAL 15g*2,,CLIO,59,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240825109
US$20.00,US$25.00,Arencia Green Tea LHA Deep Pore Rice Cake Cleanser 150g Set (+spatula brush),,Arencia,60,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250127721
US$34.00,US$40.00,[Winter's Pick] espoir Pro Tailor Be Velvet Cover Cushion New Class (SET/SINGLE),,espoir,61,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA231121068
,,BIOHEAL BOH Probioderm 3D Lifting Cream 50mL Refill Set,,BIOHEAL BOH,62,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240121787
,,beplain Mung Bean pH-Balanced Cleansing Foam 160mL + 40mL Special Set,,beplain,63,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230619360
US$1.50,US$3.00,MEDIHEAL Hyaluronate Essential Mask Sheet Ultra Hydration 1ea,,MEDIHEAL,64,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228471
US$25.99,US$30.00,Beauty of Joseon Relief Sun: Rice + Probiotics (SPF50+ PA++++) Double Pack 50mL*2ea,,Beauty of Joseon,65,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220615265
US$34.63,US$37.00,OBge Natural Cover Lotion 50g Set (+Miniature 10ml),,OBge,66,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240423330
US$13.60,US$17.00,too cool for school Artclass By. Rodin Shading 9.5g,,too cool for school,67,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220313771
US$33.76,US$44.00,VT Reedle Shot 300 Essence 50mL,,VT,68,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230820054
US$20.40,US$24.00,MUZIGAE MANSION Objet Liquid (SET/SINGLE),,MUZIGAE MANSION,69,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240925853
US$24.16,US$32.00,Dr.G Green Mild Up Sun+ Special Set,,Dr.G,70,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230217716
US$19.45,US$25.00,Anua Niacinamide 10% +TXA 4% Dark Spot Correcting Serum 30ml,,Anua,71,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240724766
US$9.23,US$16.00,BEYOND Classic Hand Cream Deep Moisture 100ml,,BEYOND,72,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240825503
,,WELLAGE Real Hyaluronic Blue 100 Ampoule 75mL 1+1 Special Set,,WELLAGE,73,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220213453
,,Torriden Dive-In Serum 50mL Refill Set (+50mL Refill Pack),,Torriden,74,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240322465
US$18.57,US$25.00,VT Reedle Shot 300 Essence 30mL(+Reedle Shot 300 Pouch 1ml * 3ea),,VT,75,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240825169
,,CLIO Kill Brow Auto Hard Brow Pencil 0.3g (Reformulated),,CLIO,76,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240423340
US$35.86,US$56.00,LABO-H Hair Loss Care Hair Line Ampoule Double Set,,LABO-H,77,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240322553
US$31.60,US$37.00,BIODANCE Bio Collagen Real Deep Mask Sheet 7P,,BIODANCE,78,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230619395
US$40.78,US$66.00,★2024 Awards★ goodal Green Tangerine Vita C Dark Spot Care Serum 70mL Set (+50mL Refill+Pad 2P),,goodal,79,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA241126632
US$45.02,US$53.00,ongredients Skin Barrier Calming Lotion Set (220ml+80ml),,ongredients,80,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240623982
US$16.46,US$17.00,[NEW] ETUDE Curl Fix Mascara,,ETUDE,81,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230318063
US$37.77,US$100.00,Centellian24 Madeca Cream Time Reverse 50ml Double Pack (+15ml*2ea),,Centellian24,82,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240423317
,,rom&nd Glasting Color Gloss 4.0g,,rom&nd,83,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA231221443
US$9.28,US$15.00,numbuzin No.3 Tingle-Pore Softening Sheet Mask 4+1 Special Set,,numbuzin,84,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220514859
US$35.75,US$36.00,[Amuroki EDITION] ROUND LAB 1025 Dokdo Toner 300ml 1+1 Set (+Camellia Sun Serum 1.5ml+Pouch),,ROUND LAB,85,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228429
US$1.50,US$3.00,MEDIHEAL Madecassoside Essential Mask Sheet Blemish Repair 1ea,,MEDIHEAL,86,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240724482
US$16.47,US$23.00,Dr. G Brightening Peeling Gel 120g Special Set (Peeling Gel 60g + Barrier D Daily Lotion 2mL),,Dr.G,87,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220213580
US$5.47,US$8.00,snuggle Double Soft Fabric Freshener 150ml,,snuggle,88,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228963
US$16.80,US$21.00,WAKEMAKE Waterful Glow Tint,,WAKEMAKE,89,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329246
US$31.50,US$45.00,makeprem Safe Me Relief Moisture Cleansing Milk 200ml Set (+Refill 200ml+Konjac Sponge),,makeprem,90,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228462
US$56.23,US$97.00,CNP Propolis Energy Active Ampule 30ml Triple Set,,CNP,91,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250127703
US$3.60,US$6.00,Abib Mild Acidic pH Sheet Mask Heartleaf Fit 1ea,,Abib,92,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA210001378
,,3CE Blur Water Tint,,3CE,93,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA210004861
US$15.00,US$20.00,fwee Lip & Cheek Blurry Pudding Pot (35 Colors),,fwee,94,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240121955
US$9.64,US$13.00,too cool for school Smudging Under Liner 0.12g,,too cool for school,95,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240121736
US$15.83,US$19.79,Hince Raw Glow Gel Tint 4ml,,hince,96,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250229000
US$16.20,US$18.00,WAKEMAKE Natural Hard Brow Pencil 1+1 Set,,WAKEMAKE,97,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230117322
US$13.30,US$19.00,CLIO Crystal Glam Tint,,CLIO,98,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230920576
US$26.40,US$33.00,MEDI-PEEL Red Lacto Collagen Wrapping Mask,,MEDI-PEEL,99,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA221016494
US$23.62,US$27.00,[Teenieping EDITION] goodal Heartleaf Calming Moisture Sun Cream 50ml 1+1 Set,,goodal,100,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228695
